,Unnamed: 0,platforms,genres,rating,title,url,star,review,author,n_ratings,cover,id,type
27,27,PS4,游戏 / 冒险 / 动作,9.4,战神 God of War,https://www.douban.com/game/26817284/,50.0,这一次，第八艺术被第九艺术超越！世界上第一个可以称得上是完全一镜到底的电视游戏作品，23小时电影化的享受胜过任何大片！战神！这个名字会被记在世界历史上！他不仅对游戏界，还对电影界有很大的启发！我很荣幸能玩到这么一款里程碑式的作品！,刘强东的忏悔,3922.0,https://img1.doubanio.com/lpic/s29521388.jpg,27,动作
28,28,PC / PS4 / Xbox One,游戏 / 角色扮演 / 冒险 / 动作,9.4,黑暗之魂3  Dark Souls III,https://www.douban.com/game/26417347/,50.0,还记得那天午后。表哥走过来说我给你介绍一款割草无双类游戏吧。。。。,ssssss,4291.0,https://img3.doubanio.com/lpic/s29744205.jpg,28,动作
29,29,FC/NES/红白机,游戏 / 角色扮演 / 体育 / 策略 / 动作,9.4,热血新纪录 びっくり熱血新記録！はるかなる金メダル,https://www.douban.com/game/10787895/,50.0,FC时代真正可以4人同乐的游戏，小学时代和好机友聚在一起时玩这游戏是固定娱乐之一。,玩酷子弟,671.0,https://img1.doubanio.com/lpic/s29462198.jpg,29,动作
30,30,PS4,游戏 / 射击 / 冒险 / 动作,9.4,最后生还者 2 The Last of Us Part II,https://www.douban.com/game/26927545/,50.0,不是，1的dlc已经挑明了艾莉是蕾丝，现在播片给你看接吻你就受不了了？还一口一个政治正确，有毛病？,宇宙拖拉机,94.0,https://img3.doubanio.com/lpic/s29700633.jpg,30,动作
31,31,PC / PS4 / PS3,游戏 / 冒险 / 动作,9.4,风之旅人 Journey,https://www.douban.com/game/11620741/,50.0,听说有人靠这游戏找到了自己的另一半。,角蛙,4694.0,https://img3.doubanio.com/lpic/s28395460.jpg,31,动作
32,32,PC / PS3 / Xbox 360,游戏 / 冒险 / 动作,9.4,生化奇兵：无限 BioShock: Infinite,https://www.douban.com/game/20499450/,50.0,如果知道不能跟你一起去巴黎，我就不该打断你在码头的舞蹈,C盘吞噬者,3437.0,https://img1.doubanio.com/lpic/s26018737.jpg,32,动作
33,33,Xbox One / PS3 / Xbox 360 / PS2 / PSV/PS Vita / 3DS,游戏 / 射击 / 动作,9.4,合金装备索利德3：食蛇者 Metal Gear Solid 3: Snake Eater,https://www.douban.com/game/10754254/,50.0,最近重温了一遍，结局The Boss的抉择与牺牲感动哭了。,Ken Freeman,639.0,https://img3.doubanio.com/lpic/s9122102.jpg,33,动作
34,34,PS3 / Xbox 360,游戏 / 射击 / 角色扮演 / 冒险 / 动作,9.4,荒野大镖客：救赎 Red Dead Redemption,https://www.douban.com/game/11611393/,50.0,多希望Rockstar能出PS4重制版.,我爱我家,945.0,https://img1.doubanio.com/lpic/s11168247.jpg,34,动作
35,35,FC/NES/红白机,游戏 / 横版过关 / 动作,9.4,超级马里奥兄弟3 スーパーマリオブラザーズ3,https://www.douban.com/game/25854071/,50.0,真正的神作，关卡设计、游戏元素之丰富、想象力之惊人，难度之适当，我个人觉得是系列最佳马里奥。（没玩过奥德赛）,Paplica,478.0,https://img3.doubanio.com/lpic/s27246791.jpg,35,动作
36,36,PC / PS4 / Xbox One,游戏 / 冒险 / 动作,9.4,生化危机2 1-Shot Resident Evil 2 1-Shot Demo,https://www.douban.com/game/30429622/,50.0,就三十分钟内，难度大大加大，丧尸会破门而入，会从窗户进来，爆头了也基本会再次起来，而且没有体术...丧尸血巨厚，打丧尸基本没有什么好处，完全的一个生存游戏。,うさむ.,63.0,https://img3.doubanio.com/lpic/s29975072.jpg,36,动作
37,37,FC/NES/红白机,游戏 / 乱斗/清版 / 格斗 / 角色扮演 / 动作,9.4,热血格斗传说 熱血格闘伝説,https://www.douban.com/game/10787897/,50.0,两个老虎BOSS最萌了~小时候玩的我手磨出个大泡,疯狂の夏虫,891.0,https://img3.doubanio.com/lpic/s28385683.jpg,37,动作
38,38,PS3 / PS2 / PSV/PS Vita,游戏 / 动作,9.4,战神2 God of War II,https://www.douban.com/game/10739257/,50.0,ps2上的动作巅峰！,alanLC,1354.0,https://img3.doubanio.com/lpic/s9099791.jpg,38,动作
39,39,SFC/SNES/超任,游戏 / 横版过关 / 射击 / 冒险 / 动作,9.4,超级银河战士 スーパーメトロイド,https://www.douban.com/game/22436624/,50.0,94年的作品和现在软萌的老任游戏相比简直就是另类，有着cult的画风和诡异的音乐。但游戏最具魅（keng）力（die）的地方还是在于令人发指的细节，各种隐藏道具和卡关，不看攻略我都不知道能玩到哪里。现在哪个游戏敢这么做？sfc的游戏都是怪物！,PepperSoul,81.0,https://img1.doubanio.com/lpic/s25980399.jpg,39,动作
40,40,PC / PS4 / Xbox One,游戏 / 第一人称射击 / 角色扮演 / 冒险 / 动作,9.4,赛博朋克 2077 Cyberpunk 2077,https://www.douban.com/game/25931998/,50.0,2077年，媒体公布最受期待游戏:《赛博朋克2077》《对马岛之鬼》《死亡搁浅》《骑砍2》《上古卷轴6》《半条命3》,叶湫忆,66.0,https://img3.doubanio.com/lpic/s29797324.jpg,40,动作
41,41,PS4,游戏 / 冒险 / 动作,9.4,P.T.,https://www.douban.com/game/25961411/,50.0,小岛自己说过本次作品就是以吓尿玩家为目标，以视频效果来看，他超标了。,木头菌,789.0,https://img1.doubanio.com/lpic/s28264428.jpg,41,动作
42,42,PS4,游戏 / 射击 / 冒险 / 动作,9.4,神秘海域4：盗贼末路 Uncharted 4: A Thief's End,https://www.douban.com/game/25905436/,50.0,走哪儿哪儿踏，撞啥啥垮，去哪儿哪儿炸，徒手攀岩能翻山，立定跳远能过河，文能手绘武能爆头，久经考验的盗宝大师，人类遗迹的共同敌人，内森德雷克先生，再见啦。,海米,5953.0,https://img1.doubanio.com/lpic/s29294297.jpg,42,动作
43,43,PS4,游戏 / 冒险 / 动作,9.4,太空機器人：救援任務 ASTRO BOT: RESCUE MISSION,https://www.douban.com/game/30340861/,50.0,史上最佳VR游戏，买PSVR而不买这个的可以去退货了！！,jiaqi,43.0,https://img3.doubanio.com/lpic/s29884222.jpg,43,动作
44,44,PC,游戏 / 策略 / 动作,9.4,湖边小屋 合集版  Lakeview Cabin Collection,https://www.douban.com/game/26906771/,50.0,威尔逊：自从玩了这个游戏，心理逐渐扭曲,♉︎,59.0,https://img1.doubanio.com/lpic/s29131038.jpg,44,动作
